테마분류,코스 아이디,관광지 아이디,지역 아이디,관광지명,경도(도),위도(도),코스순서,이동시간,실내구분,테마명
TH05,177,17703,4822051000,(통영)세병관(통제영지),128.423238,34.847749,3,2,실외,종교/역사/전통
TH05,177,17704,4822051000,(통영)충렬사,128.417847,34.846626,4,3,실외,종교/역사/전통
TH02,177,17705,4822051000,(통영)해저터널,128.409908,34.834504,5,5,실외,체험/학습/산업
TH05,177,17706,4822051000,(통영)착량묘,128.410558,34.835804,6,6,실외,종교/역사/전통
TH03,177,17707,4822059000,(통영)도남관광지,128.432766,34.828362,7,7,실외,자연/힐링
TH01,177,17708,4822051000,(통영)전혁림미술관,128.415157,34.826556,8,8,실내,문화/예술
TH06,177,17709,4822051000,(통영)중앙활어시장,128.424279,34.845701,9,9,실외,쇼핑/놀이
TH01,177,17710,4822059000,(통영)남망산국제조각공원,128.429715,34.841168,10,11,실외,문화/예술
TH03,178,17801,4822059000,(통영)도남관광지,128.432766,34.828362,1,0,실외,자연/힐링
TH05,178,17802,4822036001,(통영)한산도 제승당,128.472291,34.793922,2,2,실외,종교/역사/전통
TH03,178,17803,4831033002,(거제)해금강,128.6735,34.737714,3,5,실외,자연/힐링
TH03,178,17804,4822036003,(통영)소매물도,128.55049,34.627107,4,8,실외,자연/힐링
TH04,179,17901,4886025002,(산청)경호강래프팅,127.935858,35.348581,1,0,실외,캠핑/스포츠
TH05,179,17902,4887025002,(함양)정병호 가옥 ,127.769976,35.565874,2,2,실외,종교/역사/전통
TH03,179,17903,4888035000,(거창)금원산자연휴양림,127.800774,35.731771,3,4,실외,자연/힐링
TH05,179,17904,4889033001,(합천)해인사,128.098098,35.801178,4,6,실외,종교/역사/전통
TH03,179,17905,4874035001,(창녕)우포늪,128.413777,35.553887,5,9,실외,자연/힐링
TH01,180,18001,4812555000,(창원)문신미술관,128.568938,35.20632,1,0,실내,문화/예술
TH05,180,18002,4885032001,(하동)평사리 최참판댁,127.688071,35.155594,2,1,실내,종교/역사/전통
TH01,180,18003,4822059000,(통영)청마문학관,128.435358,34.845273,3,4,실내,문화/예술
TH02,180,18004,4822051000,(통영)윤이상거리,128.412073,34.83888,4,6,실외,체험/학습/산업
TH01,180,18005,4822051000,(통영)전혁림미술관,128.415156,34.826552,5,7,실내,문화/예술
